name,medium,city,country,website,myafriart_profile_url,source,notes,outreach_status
Dotun Popoola,Sculpture,Ile-Ife,Nigeria,dotunpopo.com,https://myafriartx.netlify.app/artist/ART-OUT-001,curated_public_repo_wayback,Founder Scrap Art Museum; scrap-metal sculptor,seed
Peju Alatise,Mixed media,Lagos,Nigeria,pejualatise.com,https://myafriartx.netlify.app/artist/ART-OUT-002,curated_public_repo_wayback,ART X Lagos regular; Yoruba mythology themes,seed
Victor Ehikhamenor,Painting,Lagos,Nigeria,ehikhamenor.com,https://myafriartx.netlify.app/artist/ART-OUT-003,curated_public_repo_wayback,"Writer, artist; Nsibidi and contemporary forms",seed
Bruce Onobrakpeya,Printmaking,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-004,curated_public_repo_wayback,Pioneer modern Nigerian printmaker,seed
Yusuf Grillo,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-005,curated_public_repo_wayback,Modernist painter; Yaba Tech legacy,seed
Nike Okundaye,Textile,Osogbo,Nigeria,nikeart.com,https://myafriartx.netlify.app/artist/ART-OUT-006,curated_public_repo_wayback,Adire master; Nike Art Gallery,seed
Ndidi Dike,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-007,curated_public_repo_wayback,Sculpture and installation; Lagos Biennial,seed
Rom Isichei,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-008,curated_public_repo_wayback,Contemporary figurative painter,seed
Peju Obasa,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-009,curated_public_repo_wayback,Ceramic and mixed media sculptor,seed
Adaeze Okonkwo,Painting,Lagos,Nigeria,myafriartx.netlify.app,https://myafriartx.netlify.app/artist/ART-OUT-010,curated_public_repo_wayback,Nsibidi-influenced oil abstractions,seed
Marcus Odia,Painting,Benin City,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-011,curated_public_repo_wayback,Contemporary Benin painter,seed
Samson Bakare,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-012,curated_public_repo_wayback,Pop surrealism; ART X Lagos,seed
Olatunde Alara,Digital art,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-013,curated_public_repo_wayback,Afrofuturist digital illustrator,seed
Drew Aquilma,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-014,curated_public_repo_wayback,Fashion and portrait photographer,seed
Ade Adekola,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-015,curated_public_repo_wayback,Street and documentary photography,seed
Abiodun Olaku,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-016,curated_public_repo_wayback,Lagos streetscape realist,seed
Ben Osaghae,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-017,curated_public_repo_wayback,Social commentary painter,seed
Gerald Chukwuma,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-018,curated_public_repo_wayback,Wood relief and metal sculpture,seed
Nengi Omuku,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-019,curated_public_repo_wayback,Figurative and landscape painter,seed
Modupeola Fedeke,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-020,curated_public_repo_wayback,Contemporary portraiture,seed
Tyna Adebowale,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-021,curated_public_repo_wayback,Gender and identity themes,seed
Wura-Natasha Ogunji,Drawing,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-022,curated_public_repo_wayback,Performance and drawing,seed
Karimah Ashadu,Film/Video,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-023,curated_public_repo_wayback,Documentary filmmaker and artist,seed
Ayo Akingbola,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-024,curated_public_repo_wayback,Abstract and figurative works,seed
Ayobola Kekere-Ekun,Textile,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-025,curated_public_repo_wayback,Paper quilling and textile art,seed
Drew Gilbert,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-026,curated_public_repo_wayback,Contemporary Lagos scenes,seed
Elias Maman,Painting,Kaduna,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-027,curated_public_repo_wayback,Northern Nigerian contemporary painter,seed
Emeka Ogboh,Sound art,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-028,curated_public_repo_wayback,Sound and installation artist,seed
George Osodi,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-029,curated_public_repo_wayback,Documentary photographer,seed
Halima Abubakar,Painting,Kano,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-030,curated_public_repo_wayback,Northern Nigerian painter,seed
Ibe Ananaba,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-031,curated_public_repo_wayback,Watercolor street scenes,seed
